Datetime,PJM_Load_MW,hour,day,month,year,dayofweek,quarter,dayofyear,weekofyear,is_weekend,season,is_holiday,demand_lag1,demand_lag2,demand_lag3,demand_rolling_mean_7,demand_rolling_std_7
1998-04-01 07:00:00,25772.0,7,1,4,1998,2,2,91,14,0,2,0,22526.0,20713.0,20421.0,21940.85714285714,1874.7534441068456
1998-04-01 08:00:00,28724.0,8,1,4,1998,2,2,91,14,0,2,0,25772.0,22526.0,20713.0,22864.428571428572,3189.229941388301
1998-04-01 09:00:00,30075.0,9,1,4,1998,2,2,91,14,0,2,0,28724.0,25772.0,22526.0,24126.0,4067.200921190561
1998-04-01 10:00:00,30689.0,10,1,4,1998,2,2,91,14,0,2,0,30075.0,28724.0,25772.0,25560.0,4394.230914885261
1998-04-01 11:00:00,31295.0,11,1,4,1998,2,2,91,14,0,2,0,30689.0,30075.0,28724.0,27113.428571428572,4192.1457058465485
1998-04-01 12:00:00,31539.0,12,1,4,1998,2,2,91,14,0,2,0,31295.0,30689.0,30075.0,28660.0,3349.6648588577805
1998-04-01 13:00:00,31227.0,13,1,4,1998,2,2,91,14,0,2,0,31539.0,31295.0,30689.0,29903.0,2060.3283718863986
1998-04-01 14:00:00,31235.0,14,1,4,1998,2,2,91,14,0,2,0,31227.0,31539.0,31295.0,30683.428571428572,992.9165552625005
1998-04-01 15:00:00,30887.0,15,1,4,1998,2,2,91,14,0,2,0,31235.0,31227.0,31539.0,30992.428571428572,491.42882059801127
1998-04-01 16:00:00,30724.0,16,1,4,1998,2,2,91,14,0,2,0,30887.0,31235.0,31227.0,31085.14285714286,321.2529784928746
1998-04-01 17:00:00,30863.0,17,1,4,1998,2,2,91,14,0,2,0,30724.0,30887.0,31235.0,31110.0,290.7788392118672
1998-04-01 18:00:00,30927.0,18,1,4,1998,2,2,91,14,0,2,0,30863.0,30724.0,30887.0,31057.428571428572,284.9654114350599
1998-04-01 19:00:00,31376.0,19,1,4,1998,2,2,91,14,0,2,0,30927.0,30863.0,30724.0,31034.14285714286,242.56025270135103
